number_of_rooms,floor,floors,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,distnce_metro,type_of_accommodation0,type_of_accommodation1,type_of_house0,type_of_house1,type_of_house2,type_of_house3,type_of_house4,type_of_house5,type_of_house6,type_of_house7,repair0,repair1,repair2,repair3,repair4,repair5,district0,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13
1,3,11,1,1,0,0,1,0,1,10650000,49.0,19.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15,16,0,2,1,1,1,1,0,34000000,131.5,77.6,17.6,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С2",0.6332881458583748,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,13,2,0,0,0,1,0,0,17900000,80.0,50.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1",0.5323660851381751,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,28,44,0,2,1,0,0,0,1,57000000,147.0,100.0,10.0,2004,"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 3",0.8198485106731115,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,6,0,2,1,0,0,0,1,49000000,123.0,71.0,8.0,1913,"Москва, ЦАО, р-н Хамовники, Малый Могильцевский пер., 4Б",0.622612242537528,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,4,6,0,3,1,0,0,0,0,99000000,250.0,200.0,20.0,1909,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 36С1",0.3717243257980703,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,10,22,0,2,1,0,0,0,1,43000000,108.0,80.0,12.0,2009,"Москва, ЮЗАО, р-н Академический, ул. Дмитрия Ульянова, 31",1.0795869003386898,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,16,1,0,1,1,1,1,0,9827730,46.0,17.5,22.3,2019,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул.",1.7976944526847196,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17,22,1,0,1,1,0,1,0,18377280,64.8,45.8,9.4,2018,"Москва, ЗАО, р-н Кунцево, Рублевское ш., 101К3",0.4620240626906531,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,30,0,2,1,0,0,0,1,65000000,151.1,82.1,15.0,2002,"Москва, ЗАО, р-н Проспект Вернадского, Ленинский просп., 98К1",1.126381505984651,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,9,0,3,1,0,0,0,1,115319441,155.0,100.0,18.0,1997,"Москва, ЦАО, р-н Замоскворечье, Татарская ул., 18",0.25110026476324626,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,3,6,0,2,1,0,0,0,1,45000000,68.0,35.0,10.0,1925,"Москва, ЦАО, р-н Тверской, Трехпрудный пер., 6",0.3494610285232991,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,8,8,0,2,1,0,0,0,0,137037936,142.6,113.0,12.0,2009,"Москва, ЦАО, р-н Басманный, Казарменный пер., 3",0.7785445767315001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,5,6,0,2,1,0,0,0,0,68199669,137.0,110.0,12.0,1914,"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С1",0.6375675628426687,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,8,8,0,4,1,0,0,0,0,328598409,450.0,300.0,25.0,2012,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 28",0.4154650487946528,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,4,12,1,1,1,1,1,0,0,50000000,150.0,110.0,20.0,2004,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 26К1",1.0510100360240562,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12,25,0,1,0,0,1,1,1,4680898,39.4,18.9,9.0,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к1",7.117841906668726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,14,24,0,5,1,0,0,0,0,361501650,293.0,250.0,25.0,2011,"Москва, ЮЗАО, р-н Гагаринский, ул. Косыгина, 13к1",0.9010137028112593,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,7,10,0,0,1,1,0,0,0,50000000,75.0,50.0,15.0,2013,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",0.7588369729959621,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2,17,0,1,1,1,1,0,0,6040156,62.1,32.0,12.9,2018,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к10",7.835577188234737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,3,4,0,2,1,0,0,0,0,216998949,173.0,100.0,15.0,2001,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 21",0.5491301224936592,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,7,11,0,1,1,0,0,0,1,111599459,138.0,100.0,20.0,2008,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 2С3",0.647935115427873,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,9,17,0,0,1,0,1,0,0,65000000,110.0,75.0,15.0,2008,"Москва, ЗАО, р-н Дорогомилово, Студенческая ул., 20к1",0.5405522644859322,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,7,0,1,1,0,0,0,1,75000000,133.0,75.0,15.0,1998,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 4",0.591634432212328,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,6,6,0,0,1,0,0,0,0,65000000,195.0,140.0,35.0,1917,"Москва, ЦАО, р-н Тверской, Тверская ул., 12С7",0.19579933527462487,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,3,6,1,0,1,0,0,0,0,77499624,118.0,80.0,12.0,1912,"Москва, ЦАО, р-н Арбат, пер. Сивцев Вражек, 12",0.6363806733879018,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,14,21,0,0,1,0,0,0,0,83500000,162.7,104.0,26.0,2010,"Москва, СВАО, р-н Останкинский, ул. Академика Королева, 10",0.42377526968888396,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11,34,2,0,1,1,0,1,0,35000000,138.0,70.0,20.0,2008,"Москва, СЗАО, р-н Щукино, Авиационная ул., 77",1.1156009532570144,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,5,0,1,1,1,0,0,0,90000000,140.0,90.0,40.0,2009,"Москва, ЦАО, р-н Таганский, ул. Станиславского, 11",0.5086590459837813,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,18,1,0,1,0,0,0,0,198399039,185.0,150.0,20.0,2006,"Москва, ЦАО, р-н Арбат, Малый Новопесковский пер., 8",0.4071926130235803,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,7,0,0,1,0,0,0,1,340998349,183.0,160.0,15.0,2005,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 5",0.6661893724246472,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,34,51,0,1,1,1,0,0,1,130199369,180.0,150.0,25.0,2006,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",0.8815239051151257,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23,43,0,1,1,1,0,0,0,22000000,55.0,38.0,14.0,2011,"Москва, САО, р-н Хорошевский, Хорошевское ш., 16к1",0.17460559183754448,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,10,0,0,1,1,0,0,0,164700000,208.0,120.0,20.0,2002,"Москва, ЦАО, р-н Арбат, Филипповский пер., 8С1",0.4618287199189304,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2,12,0,2,1,1,1,0,0,39000000,115.0,67.0,19.0,2007,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 15",0.8977458447663217,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,12,0,0,1,1,0,0,0,35900000,120.0,90.0,20.0,2006,"Москва, САО, р-н Аэропорт, Петровско-Разумовская аллея, 10К2",0.4837337063354378,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,8,2,1,0,0,1,1,0,148799279,166.4,116.0,25.0,2009,"Москва, ЦАО, р-н Хамовники, пер. Хилков, 1",0.5992216478200619,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,35,49,0,2,1,1,0,0,0,54800000,145.0,100.0,20.0,2009,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 111к1",1.7404275031338814,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,12,16,2,0,1,1,1,0,0,76259630,138.1,110.0,11.0,2008,"Москва, ЦАО, р-н Хамовники, Ружейный пер., 3",0.5997413589400458,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,13,57,0,3,1,1,0,0,0,87000000,159.0,99.0,18.0,2006,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3",0.8815239051151257,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,26,0,0,1,1,1,0,0,58000000,105.0,66.0,13.0,1952,"Москва, ЦАО, р-н Таганский, Котельническая наб., 1/15",1.2055747463328732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2,4,0,0,1,1,0,0,1,86799579,170.0,130.0,18.0,2003,"Москва, ЗАО, р-н Раменки, Минская ул., 1А",2.4224745992631904,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,17,0,1,0,0,1,0,0,4224580,38.8,19.0,7.4,2018,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к8",8.015042310769326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,6,15,1,1,1,1,1,1,0,43887250,181.5,105.6,13.4,2020,"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул.",0.5704502305196115,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,51,1,0,1,1,0,1,0,8588470,43.39,13.4,15.8,2019,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",1.1010671002143089,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,4,12,0,1,1,1,0,0,1,5790000,42.0,21.0,8.5,1979,"Москва, СВАО, р-н Отрадное, Березовая аллея, 7",1.3198688004190329,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,9,0,2,1,1,0,0,1,154999249,140.0,90.0,15.0,2013,"Москва, ЦАО, р-н Тверской, Большой Каретный пер., 24с2",0.41259287995051175,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,5,5,1,0,0,0,1,0,0,8480000,44.0,32.0,5.6,1962,"Москва, САО, р-н Аэропорт, Часовая ул., 19А",0.9522589516693416,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,19,0,1,1,1,1,0,0,7000000,39.0,19.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2",2.763500305349865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,5,12,1,0,1,1,1,0,0,7100000,51.0,26.0,13.0,2013,"Москва, ЮАО, р-н Бирюлево Восточное, 6-я Радиальная ул., 5к1",1.9023957509760725,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,17,19,0,1,1,1,0,0,0,7200000,38.0,19.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к3",2.663690320079897,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,38,1,0,1,1,0,0,0,8990000,50.0,27.0,9.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4",1.4749313988128832,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,19,0,1,1,1,1,0,0,10300000,56.0,33.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2",2.763500305349865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,5,19,0,1,1,1,1,0,0,10400000,55.1,30.0,9.4,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2",2.763500305349865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,13,19,1,0,0,0,1,0,0,10000000,46.0,22.0,14.0,2013,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к6",0.7938937256066709,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,5,19,0,1,1,1,1,0,0,10100000,57.0,33.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2",2.763500305349865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
